direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
OUT,25_34,53,Washington,WA,12,11,-1,0.029226,0.029399,0.9941
OUT,25_34,54,West Virginia,WV,45,43,-2,0.004938,0.004966,0.9944
OUT,25_34,55,Wisconsin,WI,28,24,-4,0.012539,0.015491,0.8094
OUT,25_34,56,Wyoming,WY,50,49,-1,0.002299,0.002781,0.8265
OUT,35_54,01,Alabama,AL,26,25,-1,0.012787,0.012977,0.9854
OUT,35_54,02,Alaska,AK,40,41,1,0.005654,0.005599,1.0098
OUT,35_54,04,Arizona,AZ,13,14,1,0.023285,0.025651,0.9078
OUT,35_54,05,Arkansas,AR,35,36,1,0.008795,0.007762,1.1332
OUT,35_54,06,California,CA,1,1,0,0.10133,0.092813,1.0918
OUT,35_54,08,Colorado,CO,12,12,0,0.029051,0.029191,0.9952
OUT,35_54,09,Connecticut,CT,28,26,-2,0.012203,0.012882,0.9473
OUT,35_54,10,Delaware,DE,49,45,-4,0.002492,0.004277,0.5827
OUT,35_54,12,Florida,FL,2,2,0,0.080563,0.070244,1.1469
OUT,35_54,13,Georgia,GA,8,9,1,0.033339,0.031495,1.0586
OUT,35_54,15,Hawaii,HI,39,39,0,0.007278,0.006907,1.0538
OUT,35_54,16,Idaho,ID,36,34,-2,0.008075,0.008375,0.9641
OUT,35_54,17,Illinois,IL,6,5,-1,0.037018,0.040995,0.903
OUT,35_54,18,Indiana,IN,22,21,-1,0.017215,0.018198,0.946
OUT,35_54,19,Iowa,IA,34,33,-1,0.008902,0.010042,0.8865
OUT,35_54,20,Kansas,KS,30,30,0,0.010575,0.011569,0.914
OUT,35_54,21,Kentucky,KY,24,31,7,0.013601,0.011529,1.1797
OUT,35_54,22,Louisiana,LA,19,28,9,0.018155,0.012148,1.4945
OUT,35_54,23,Maine,ME,47,47,0,0.002701,0.004112,0.6568
OUT,35_54,24,Maryland,MD,17,16,-1,0.019876,0.023259,0.8545
OUT,35_54,25,Massachusetts,MA,18,13,-5,0.019386,0.027447,0.7063
OUT,35_54,26,Michigan,MI,23,18,-5,0.014839,0.019873,0.7467
OUT,35_54,27,Minnesota,MN,29,23,-6,0.012115,0.016337,0.7416
OUT,35_54,28,Mississippi,MS,37,37,0,0.007904,0.007233,1.0928
OUT,35_54,29,Missouri,MO,16,19,3,0.020448,0.018762,1.0898
OUT,35_54,30,Montana,MT,44,42,-2,0.004303,0.005032,0.8551
OUT,35_54,31,Nebraska,NE,38,38,0,0.007548,0.007136,1.0577
OUT,35_54,32,Nevada,NV,25,27,2,0.013201,0.012538,1.0529
OUT,35_54,33,New Hampshire,NH,43,40,-3,0.004425,0.006051,0.7312
OUT,35_54,34,New Jersey,NJ,10,10,0,0.03038,0.031185,0.9742
OUT,35_54,35,New Mexico,NM,33,35,2,0.009603,0.008171,1.1752
OUT,35_54,36,New York,NY,4,4,0,0.063528,0.059936,1.0599
OUT,35_54,37,North Carolina,NC,7,8,1,0.033457,0.03314,1.0096
OUT,35_54,38,North Dakota,ND,48,48,0,0.002586,0.002913,0.8877
OUT,35_54,39,Ohio,OH,15,15,0,0.021514,0.024891,0.8643
OUT,35_54,40,Oklahoma,OK,31,32,1,0.009962,0.010205,0.9762
OUT,35_54,41,Oregon,OR,20,22,2,0.017986,0.016613,1.0826
OUT,35_54,42,Pennsylvania,PA,9,6,-3,0.032708,0.036104,0.9059
OUT,35_54,44,Rhode Island,RI,42,44,2,0.004461,0.004753,0.9386
OUT,35_54,45,South Carolina,SC,21,20,-1,0.017506,0.01821,0.9613
OUT,35_54,46,South Dakota,SD,45,46,1,0.003381,0.00417,0.8108
OUT,35_54,47,Tennessee,TN,14,17,3,0.021924,0.021655,1.0124
OUT,35_54,48,Texas,TX,3,3,0,0.071584,0.06557,1.0917
OUT,35_54,49,Utah,UT,32,29,-3,0.009914,0.012026,0.8244
OUT,35_54,50,Vermont,VT,50,50,0,0.001786,0.002311,0.7728
OUT,35_54,51,Virginia,VA,5,7,2,0.039355,0.035075,1.122
OUT,35_54,53,Washington,WA,11,11,0,0.030289,0.029399,1.0303
OUT,35_54,54,West Virginia,WV,41,43,2,0.005393,0.004966,1.0861
OUT,35_54,55,Wisconsin,WI,27,24,-3,0.012524,0.015491,0.8085
OUT,35_54,56,Wyoming,WY,46,49,3,0.003095,0.002781,1.1126
OUT,55_64,01,Alabama,AL,26,25,-1,0.012999,0.012977,1.0017
OUT,55_64,02,Alaska,AK,41,41,0,0.005745,0.005599,1.026
OUT,55_64,04,Arizona,AZ,7,14,7,0.03202,0.025651,1.2483
OUT,55_64,05,Arkansas,AR,35,36,1,0.007577,0.007762,0.9762
OUT,55_64,06,California,CA,1,1,0,0.100375,0.092813,1.0815
OUT,55_64,08,Colorado,CO,11,12,1,0.030215,0.029191,1.0351
OUT,55_64,09,Connecticut,CT,27,26,-1,0.012047,0.012882,0.9351
OUT,55_64,10,Delaware,DE,45,45,0,0.004366,0.004277,1.021
OUT,55_64,12,Florida,FL,2,2,0,0.07625,0.070244,1.0855
OUT,55_64,13,Georgia,GA,9,9,0,0.03091,0.031495,0.9814
OUT,55_64,15,Hawaii,HI,40,39,-1,0.006027,0.006907,0.8727
OUT,55_64,16,Idaho,ID,38,34,-4,0.006298,0.008375,0.752
OUT,55_64,17,Illinois,IL,5,5,0,0.041081,0.040995,1.0021
OUT,55_64,18,Indiana,IN,23,21,-2,0.014867,0.018198,0.817
OUT,55_64,19,Iowa,IA,37,33,-4,0.007484,0.010042,0.7453
OUT,55_64,20,Kansas,KS,30,30,0,0.009179,0.011569,0.7934
OUT,55_64,21,Kentucky,KY,28,31,3,0.011582,0.011529,1.0046
OUT,55_64,22,Louisiana,LA,29,28,-1,0.010712,0.012148,0.8818
OUT,55_64,23,Maine,ME,46,47,1,0.003986,0.004112,0.9693
OUT,55_64,24,Maryland,MD,15,16,1,0.025939,0.023259,1.1152
OUT,55_64,25,Massachusetts,MA,17,13,-4,0.024577,0.027447,0.8954
OUT,55_64,26,Michigan,MI,19,18,-1,0.019143,0.019873,0.9633
OUT,55_64,27,Minnesota,MN,21,23,2,0.015406,0.016337,0.943
OUT,55_64,28,Mississippi,MS,39,37,-2,0.006038,0.007233,0.8348
OUT,55_64,29,Missouri,MO,18,19,1,0.021392,0.018762,1.1401
OUT,55_64,30,Montana,MT,42,42,0,0.005413,0.005032,1.0757
OUT,55_64,31,Nebraska,NE,34,38,4,0.007609,0.007136,1.0663
OUT,55_64,32,Nevada,NV,22,27,5,0.015344,0.012538,1.2237
OUT,55_64,33,New Hampshire,NH,36,40,4,0.007501,0.006051,1.2397
OUT,55_64,34,New Jersey,NJ,12,10,-2,0.029273,0.031185,0.9387
OUT,55_64,35,New Mexico,NM,31,35,4,0.009081,0.008171,1.1113
OUT,55_64,36,New York,NY,3,4,1,0.064434,0.059936,1.075
OUT,55_64,37,North Carolina,NC,10,8,-2,0.03038,0.03314,0.9167
OUT,55_64,38,North Dakota,ND,50,48,-2,0.001544,0.002913,0.5301
OUT,55_64,39,Ohio,OH,14,15,1,0.027884,0.024891,1.1202
OUT,55_64,40,Oklahoma,OK,32,32,0,0.008051,0.010205,0.789
OUT,55_64,41,Oregon,OR,25,22,-3,0.014103,0.016613,0.8489
OUT,55_64,42,Pennsylvania,PA,6,6,0,0.037937,0.036104,1.0507
OUT,55_64,44,Rhode Island,RI,47,44,-3,0.003184,0.004753,0.6699
OUT,55_64,45,South Carolina,SC,24,20,-4,0.014513,0.01821,0.797
OUT,55_64,46,South Dakota,SD,44,46,2,0.004811,0.00417,1.1537
OUT,55_64,47,Tennessee,TN,16,17,1,0.025886,0.021655,1.1954
OUT,55_64,48,Texas,TX,4,3,-1,0.06088,0.06557,0.9285
OUT,55_64,49,Utah,UT,33,29,-4,0.007912,0.012026,0.6579
OUT,55_64,50,Vermont,VT,49,50,1,0.002154,0.002311,0.9319
OUT,55_64,51,Virginia,VA,13,7,-6,0.029153,0.035075,0.8311
OUT,55_64,53,Washington,WA,8,11,3,0.031409,0.029399,1.0684
OUT,55_64,54,West Virginia,WV,43,43,0,0.00514,0.004966,1.0352
OUT,55_64,55,Wisconsin,WI,20,24,4,0.017114,0.015491,1.1048
OUT,55_64,56,Wyoming,WY,48,49,1,0.003075,0.002781,1.1055
OUT,65_PLUS,01,Alabama,AL,29,25,-4,0.011031,0.012977,0.8501
OUT,65_PLUS,02,Alaska,AK,45,41,-4,0.004771,0.005599,0.8521
OUT,65_PLUS,04,Arizona,AZ,6,14,8,0.035374,0.025651,1.3791
OUT,65_PLUS,05,Arkansas,AR,32,36,4,0.007581,0.007762,0.9768
OUT,65_PLUS,06,California,CA,2,1,-1,0.094023,0.092813,1.013
OUT,65_PLUS,08,Colorado,CO,12,12,0,0.027165,0.029191,0.9306
OUT,65_PLUS,09,Connecticut,CT,26,26,0,0.013559,0.012882,1.0525
OUT,65_PLUS,10,Delaware,DE,47,45,-2,0.004207,0.004277,0.9838
OUT,65_PLUS,12,Florida,FL,1,2,1,0.101775,0.070244,1.4489
OUT,65_PLUS,13,Georgia,GA,11,9,-2,0.029683,0.031495,0.9425
OUT,65_PLUS,15,Hawaii,HI,39,39,0,0.005633,0.006907,0.8156
OUT,65_PLUS,16,Idaho,ID,34,34,0,0.007275,0.008375,0.8687
OUT,65_PLUS,17,Illinois,IL,5,5,0,0.040582,0.040995,0.9899
OUT,65_PLUS,18,Indiana,IN,25,21,-4,0.015334,0.018198,0.8426
OUT,65_PLUS,19,Iowa,IA,28,33,5,0.012735,0.010042,1.2682
OUT,65_PLUS,20,Kansas,KS,36,30,-6,0.006732,0.011569,0.5819
OUT,65_PLUS,21,Kentucky,KY,30,31,1,0.010037,0.011529,0.8706
OUT,65_PLUS,22,Louisiana,LA,31,28,-3,0.00921,0.012148,0.7581
OUT,65_PLUS,23,Maine,ME,38,47,9,0.006132,0.004112,1.4912
OUT,65_PLUS,24,Maryland,MD,15,16,1,0.024956,0.023259,1.0729
OUT,65_PLUS,25,Massachusetts,MA,18,13,-5,0.022606,0.027447,0.8236
OUT,65_PLUS,26,Michigan,MI,14,18,4,0.026088,0.019873,1.3127
OUT,65_PLUS,27,Minnesota,MN,21,23,2,0.017292,0.016337,1.0585
OUT,65_PLUS,28,Mississippi,MS,46,37,-9,0.004296,0.007233,0.594
OUT,65_PLUS,29,Missouri,MO,22,19,-3,0.016329,0.018762,0.8703
OUT,65_PLUS,30,Montana,MT,43,42,-1,0.005083,0.005032,1.0101
OUT,65_PLUS,31,Nebraska,NE,35,38,3,0.006943,0.007136,0.9729
OUT,65_PLUS,32,Nevada,NV,24,27,3,0.01586,0.012538,1.2649
OUT,65_PLUS,33,New Hampshire,NH,40,40,0,0.00558,0.006051,0.9221
OUT,65_PLUS,34,New Jersey,NJ,9,10,1,0.03079,0.031185,0.9873
OUT,65_PLUS,35,New Mexico,NM,27,35,8,0.012758,0.008171,1.5613
OUT,65_PLUS,36,New York,NY,3,4,1,0.056743,0.059936,0.9467
OUT,65_PLUS,37,North Carolina,NC,7,8,1,0.034576,0.03314,1.0433
OUT,65_PLUS,38,North Dakota,ND,48,48,0,0.002862,0.002913,0.9825
OUT,65_PLUS,39,Ohio,OH,16,15,-1,0.024619,0.024891,0.989
OUT,65_PLUS,40,Oklahoma,OK,37,32,-5,0.006604,0.010205,0.6471
OUT,65_PLUS,41,Oregon,OR,19,22,3,0.02025,0.016613,1.2189
OUT,65_PLUS,42,Pennsylvania,PA,8,6,-2,0.033046,0.036104,0.9153
OUT,65_PLUS,44,Rhode Island,RI,44,44,0,0.004816,0.004753,1.0134
OUT,65_PLUS,45,South Carolina,SC,17,20,3,0.02294,0.01821,1.2597
OUT,65_PLUS,46,South Dakota,SD,42,46,4,0.005243,0.00417,1.2572
OUT,65_PLUS,47,Tennessee,TN,20,17,-3,0.020086,0.021655,0.9276
OUT,65_PLUS,48,Texas,TX,4,3,-1,0.046569,0.06557,0.7102
OUT,65_PLUS,49,Utah,UT,33,29,-4,0.007416,0.012026,0.6167
OUT,65_PLUS,50,Vermont,VT,50,50,0,0.002028,0.002311,0.8774
OUT,65_PLUS,51,Virginia,VA,13,7,-6,0.026586,0.035075,0.758
OUT,65_PLUS,53,Washington,WA,10,11,1,0.030515,0.029399,1.038
OUT,65_PLUS,54,West Virginia,WV,41,43,2,0.005266,0.004966,1.0605
OUT,65_PLUS,55,Wisconsin,WI,23,24,1,0.015952,0.015491,1.0298
OUT,65_PLUS,56,Wyoming,WY,49,49,0,0.002464,0.002781,0.8857
