direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
IN,25_34,36,New York,NY,4,4,0,0.054477,0.042999,1.2669
IN,25_34,37,North Carolina,NC,5,5,0,0.038744,0.04158,0.9318
IN,25_34,38,North Dakota,ND,50,47,-3,0.002529,0.003987,0.6344
IN,25_34,39,Ohio,OH,14,12,-2,0.027483,0.028056,0.9796
IN,25_34,40,Oklahoma,OK,28,27,-1,0.012702,0.014082,0.9019
IN,25_34,41,Oregon,OR,24,23,-1,0.015793,0.017645,0.895
IN,25_34,42,Pennsylvania,PA,8,8,0,0.033954,0.03392,1.001
IN,25_34,44,Rhode Island,RI,39,44,5,0.006341,0.005312,1.1937
IN,25_34,45,South Carolina,SC,18,14,-4,0.021945,0.026448,0.8298
IN,25_34,46,South Dakota,SD,49,50,1,0.002621,0.003431,0.7639
IN,25_34,47,Tennessee,TN,12,13,1,0.029561,0.026954,1.0967
IN,25_34,48,Texas,TX,1,2,1,0.083581,0.075654,1.1048
IN,25_34,49,Utah,UT,31,28,-3,0.01124,0.013271,0.8469
IN,25_34,50,Vermont,VT,48,48,0,0.002692,0.003784,0.7114
IN,25_34,51,Virginia,VA,7,6,-1,0.036671,0.036756,0.9977
IN,25_34,53,Washington,WA,6,10,4,0.036698,0.031354,1.1704
IN,25_34,54,West Virginia,WV,44,41,-3,0.0047,0.006268,0.7498
IN,25_34,55,Wisconsin,WI,25,24,-1,0.015072,0.01679,0.8977
IN,25_34,56,Wyoming,WY,47,49,2,0.002734,0.003553,0.7694
IN,35_54,01,Alabama,AL,23,25,2,0.016419,0.016206,1.0132
IN,35_54,02,Alaska,AK,44,46,2,0.00434,0.004279,1.0143
IN,35_54,04,Arizona,AZ,10,9,-1,0.030046,0.033327,0.9015
IN,35_54,05,Arkansas,AR,35,36,1,0.009512,0.008614,1.1042
IN,35_54,06,California,CA,3,3,0,0.055211,0.058687,0.9408
IN,35_54,08,Colorado,CO,13,15,2,0.02547,0.026382,0.9655
IN,35_54,09,Connecticut,CT,29,30,1,0.012309,0.011976,1.0278
