dv,iv,n,coef,std_err,t_value,p_value,r_squared,adj_r_squared,f_stat,f_p_value,sign
OUT_SHARE_65_PLUS,UNEMP,50,0.00934639,0.00343942,2.7174,0.009124,0.1333,0.1153,7.3844,0.009124,+
OUT_SHARE_65_PLUS,TRANSIT_SHARE,50,0.00197721,0.00072968,2.7097,0.00931,0.1327,0.1146,7.3425,0.00931,+
OUT_SHARE_65_PLUS,MED_HOMEVAL,50,4e-08,2e-08,2.2318,0.03033,0.094,0.0751,4.9811,0.03033,+
OUT_SHARE_65_PLUS,BA_PLUS,50,0.00091994,0.00052051,1.7674,0.083523,0.0611,0.0415,3.1236,0.083523,+
OUT_SHARE_65_PLUS,POP_DENS,50,1.678e-05,1.023e-05,1.6398,0.107578,0.0531,0.0333,2.6891,0.107578,+
OUT_SHARE_65_PLUS,VACANCY_RATE,50,0.00202049,0.00187391,1.0782,0.286325,0.0236,0.0033,1.1626,0.286325,+
OUT_SHARE_65_PLUS,UNINSURED,50,0.00107454,0.0011313,0.9498,0.346956,0.0184,-0.002,0.9022,0.346956,+
OUT_SHARE_65_PLUS,ELEC_PRICE_TOT,50,0.0004499,0.00049876,0.902,0.371538,0.0167,-0.0038,0.8137,0.371538,+
OUT_SHARE_65_PLUS,CRIME_VIOLENT_RATE,50,1.766e-05,2.096e-05,0.8425,0.40368,0.0146,-0.006,0.7098,0.40368,+
OUT_SHARE_65_PLUS,REAL_PCPI,50,2.2e-07,5e-07,0.449,0.655466,0.0042,-0.0166,0.2016,0.655466,+
OUT_SHARE_65_PLUS,LAND_AREA,50,1e-08,3e-08,0.4308,0.668537,0.0039,-0.0169,0.1856,0.668537,+
OUT_SHARE_ALL_AGES,PRIV_EMP,50,1e-08,0.0,27.7081,0.0,0.9412,0.9399,767.7379,0.0,+
OUT_SHARE_ALL_AGES,POP,50,0.0,0.0,27.0126,0.0,0.9383,0.937,729.6806,0.0,+
OUT_SHARE_ALL_AGES,GDP,50,3e-08,0.0,22.6285,0.0,0.9143,0.9125,512.0491,0.0,+
OUT_SHARE_ALL_AGES,PRIV_ESTAB,50,6e-08,0.0,20.0102,0.0,0.893,0.8907,400.408,0.0,+
OUT_SHARE_ALL_AGES,PERMITS,50,3.6e-07,4e-08,8.9593,0.0,0.6258,0.618,80.2687,0.0,+
OUT_SHARE_ALL_AGES,COST_BURDEN_ALL,50,0.00246648,0.00047789,5.1612,5e-06,0.3569,0.3435,26.6377,5e-06,+
OUT_SHARE_ALL_AGES,PRIV_AVG_PAY,50,1.03e-06,2e-07,5.1423,5e-06,0.3552,0.3418,26.4429,5e-06,+
OUT_SHARE_ALL_AGES,COMMUTE_MED,50,0.00323113,0.00062918,5.1355,5e-06,0.3546,0.3412,26.3731,5e-06,+
OUT_SHARE_ALL_AGES,MED_RENT,50,3.319e-05,7.3e-06,4.549,3.7e-05,0.3012,0.2867,20.6934,3.7e-05,+
OUT_SHARE_ALL_AGES,NRI_RISK_INDEX,50,0.00078723,0.00018433,4.2708,9.2e-05,0.2754,0.2603,18.2401,9.2e-05,+
OUT_SHARE_ALL_AGES,RPP,50,0.00134776,0.00035634,3.7822,0.000431,0.2296,0.2135,14.3051,0.000431,+
OUT_SHARE_ALL_AGES,TRANSIT_SHARE,50,0.00213229,0.00065596,3.2506,0.002108,0.1804,0.1633,10.5667,0.002108,+
OUT_SHARE_ALL_AGES,UNEMP,50,0.00931927,0.00314072,2.9672,0.004674,0.155,0.1374,8.8045,0.004674,+
OUT_SHARE_ALL_AGES,MED_HOMEVAL,50,4e-08,2e-08,2.3135,0.025022,0.1003,0.0816,5.3524,0.025022,+
OUT_SHARE_ALL_AGES,BA_PLUS,50,0.00099103,0.00047574,2.0831,0.04259,0.0829,0.0638,4.3394,0.04259,+
OUT_SHARE_ALL_AGES,POP_DENS,50,1.559e-05,9.46e-06,1.6476,0.105971,0.0535,0.0338,2.7145,0.105971,+
OUT_SHARE_ALL_AGES,UNINSURED,50,0.00122601,0.00104107,1.1776,0.244744,0.0281,0.0078,1.3868,0.244744,+
OUT_SHARE_ALL_AGES,ELEC_PRICE_TOT,50,0.00043614,0.00046086,0.9464,0.348705,0.0183,-0.0021,0.8956,0.348705,+
OUT_SHARE_ALL_AGES,CRIME_VIOLENT_RATE,50,1.739e-05,1.936e-05,0.8984,0.373474,0.0165,-0.004,0.8071,0.373474,+
OUT_SHARE_ALL_AGES,VACANCY_RATE,50,0.00138408,0.00174241,0.7943,0.430904,0.013,-0.0076,0.631,0.430904,+
OUT_SHARE_ALL_AGES,REAL_PCPI,50,3.4e-07,4.6e-07,0.7417,0.461873,0.0113,-0.0093,0.5501,0.461873,+
OUT_SHARE_ALL_AGES,LAND_AREA,50,2e-08,3e-08,0.7368,0.464841,0.0112,-0.0094,0.5428,0.464841,+
