dv,age_group,model_id,formula,iv_count,iv_list,adjusted_r2,r2,aic,bic,rmse,max_vif,sign_check,notes
NET_RATE_65_PLUS,65_PLUS,M2,NET_RATE_65_PLUS ~ UNINSURED + RPP,2,"UNINSURED, RPP",0.0382,0.0775,302.86,308.6,4.8579,8.45,"UNINSURED(+), RPP(-)",
NET_RATE_65_PLUS,65_PLUS,M1,NET_RATE_65_PLUS ~ UNINSURED + BA_PLUS,2,"UNINSURED, BA_PLUS",0.0288,0.0684,303.35,309.08,4.8816,6.31,"UNINSURED(+), BA_PLUS(-)",
NET_RATE_65_PLUS,65_PLUS,M4,NET_RATE_65_PLUS ~ UNINSURED + BA_PLUS + RPP,3,"UNINSURED, BA_PLUS, RPP",0.019,0.079,304.78,312.42,4.9063,134.09,"UNINSURED(+), BA_PLUS(-), RPP(-)",
NET_RATE_65_PLUS,65_PLUS,M5,NET_RATE_65_PLUS ~ UNINSURED + BA_PLUS + MED_HOMEVAL,3,"UNINSURED, BA_PLUS, MED_HOMEVAL",0.0088,0.0695,305.29,312.94,4.9317,20.5,"UNINSURED(+), BA_PLUS(-), MED_HOMEVAL(+)",
NET_RATE_65_PLUS,65_PLUS,M3,NET_RATE_65_PLUS ~ UNINSURED + MED_HOMEVAL,2,"UNINSURED, MED_HOMEVAL",0.007,0.0476,304.46,310.19,4.936,3.63,"UNINSURED(+), MED_HOMEVAL(-)",
