age_group,spearman_rho_pop_vs_net_rate,p_value_pop_vs_net_rate,spearman_rho_pop_vs_abs_net_rate,p_value_pop_vs_abs_net_rate,top10_net_rate_states,top10_net_count_states,overlap_top10_rate_vs_count,overlap_bottom10_rate_vs_count,overlap_top10_abs_rate_vs_abs_count,n_small_pop_states,small_in_top10_net_rate,small_in_bottom10_net_rate,small_in_top10_abs_net_rate
18_24,-0.308,0.0293,-0.418,0.0025,"Vermont, Wyoming, North Dakota, Hawaii, Rhode Island, South Carolina, Montana, West Virginia, Arkansas, Kentucky","South Carolina, North Carolina, Tennessee, Missouri, Arizona, Virginia, Kentucky, Oklahoma, Utah, Alabama",2,7,3,10,6,2,6
25_34,0.062,0.6674,-0.435,0.0016,"Maine, Nevada, Rhode Island, Maryland, New Mexico, Tennessee, Washington, Wyoming, New Hampshire, South Carolina","Texas, Washington, Tennessee, Maryland, Arizona, Nevada, South Carolina, Ohio, Wisconsin, Missouri",5,5,4,10,4,4,5
35_54,-0.284,0.0455,-0.208,0.1478,"Nevada, Delaware, Vermont, North Dakota, New Hampshire, Maine, South Carolina, Oklahoma, Georgia, Wyoming","Texas, Georgia, Nevada, North Carolina, South Carolina, Ohio, Arizona, Oklahoma, Maryland, Alabama",4,8,3,10,6,2,6
55_64,-0.212,0.1396,-0.089,0.5393,"Vermont, South Carolina, Nevada, Delaware, Florida, Arizona, Idaho, Oklahoma, Maine, North Carolina","Florida, North Carolina, South Carolina, Arizona, Tennessee, Nevada, Alabama, Oklahoma, Texas, Georgia",6,7,3,10,3,2,4
65_PLUS,-0.072,0.6175,-0.079,0.5833,"Idaho, Nevada, Arizona, South Carolina, Florida, Mississippi, Oklahoma, Delaware, New Hampshire, Virginia","Florida, Arizona, South Carolina, Texas, Virginia, North Carolina, Nevada, Idaho, Oklahoma, Ohio",7,7,3,10,2,3,2
