model_id,dv,ivs,n_ivs,adj_r2,aic,bic,max_vif,f_stat,f_p,max_cooks_d,n_influential
M25_3IV_PRIV_AVG_PAY+RPP+COMMUTE_MED,REL_IN_25_34,PRIV_AVG_PAY + RPP + COMMUTE_MED,3,0.4328,-67.02,-59.37,2.86,13.4633,2e-06,0.4487,3
M25_3IV_RPP+MED_RENT+COMMUTE_MED,REL_IN_25_34,RPP + MED_RENT + COMMUTE_MED,3,0.4268,-66.5,-58.85,7.78,13.1624,2e-06,0.4165,3
M25_3IV_PRIV_AVG_PAY+RPP+MED_RENT,REL_IN_25_34,PRIV_AVG_PAY + RPP + MED_RENT,3,0.4225,-66.12,-58.47,8.65,12.95,3e-06,0.1067,5
M25_2IV_PRIV_AVG_PAY+COMMUTE_MED,REL_IN_25_34,PRIV_AVG_PAY + COMMUTE_MED,2,0.4213,-66.94,-61.2,1.54,18.8335,1e-06,0.4325,4
M25_2IV_PRIV_AVG_PAY+RPP,REL_IN_25_34,PRIV_AVG_PAY + RPP,2,0.4196,-66.8,-61.06,2.67,18.7149,1e-06,0.1303,3
M25_3IV_PRIV_AVG_PAY+RPP+TRANSIT_SHARE,REL_IN_25_34,PRIV_AVG_PAY + RPP + TRANSIT_SHARE,3,0.4152,-65.5,-57.85,3.19,12.5977,4e-06,0.0961,1
M25_3IV_PRIV_AVG_PAY+RPP+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + RPP + POP_DENS,3,0.4108,-65.12,-57.47,2.83,12.3883,5e-06,0.3689,5
M25_3IV_PRIV_AVG_PAY+RPP+BA_PLUS,REL_IN_25_34,PRIV_AVG_PAY + RPP + BA_PLUS,3,0.4107,-65.12,-57.47,3.12,12.3855,5e-06,0.2253,4
M25_3IV_PRIV_AVG_PAY+COMMUTE_MED+TRANSIT_SHARE,REL_IN_25_34,PRIV_AVG_PAY + COMMUTE_MED + TRANSIT_SHARE,3,0.4105,-65.09,-57.44,1.95,12.3726,5e-06,0.3183,2
M25_3IV_PRIV_AVG_PAY+COMMUTE_MED+COST_BURDEN_ALL,REL_IN_25_34,PRIV_AVG_PAY + COMMUTE_MED + COST_BURDEN_ALL,3,0.41,-65.05,-57.4,2.06,12.3484,5e-06,0.3249,4
M25_3IV_PRIV_AVG_PAY+MED_RENT+COMMUTE_MED,REL_IN_25_34,PRIV_AVG_PAY + MED_RENT + COMMUTE_MED,3,0.4095,-65.01,-57.36,2.56,12.3255,5e-06,0.3877,3
M25_3IV_PRIV_AVG_PAY+COMMUTE_MED+BA_PLUS,REL_IN_25_34,PRIV_AVG_PAY + COMMUTE_MED + BA_PLUS,3,0.4093,-64.99,-57.34,2.7,12.3162,5e-06,0.4075,3
M25_3IV_PRIV_AVG_PAY+COMMUTE_MED+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + COMMUTE_MED + POP_DENS,3,0.4092,-64.98,-57.34,1.88,12.3127,5e-06,0.7228,4
M25_3IV_PRIV_AVG_PAY+RPP+COST_BURDEN_ALL,REL_IN_25_34,PRIV_AVG_PAY + RPP + COST_BURDEN_ALL,3,0.4082,-64.9,-57.25,5.12,12.2659,5e-06,0.2533,4
M25_2IV_RPP+COMMUTE_MED,REL_IN_25_34,RPP + COMMUTE_MED,2,0.4082,-65.83,-60.09,1.55,17.9023,2e-06,0.5638,2
M25_3IV_RPP+COMMUTE_MED+COST_BURDEN_ALL,REL_IN_25_34,RPP + COMMUTE_MED + COST_BURDEN_ALL,3,0.4079,-64.87,-57.23,3.64,12.2523,5e-06,0.5617,3
M25_3IV_RPP+COMMUTE_MED+TRANSIT_SHARE,REL_IN_25_34,RPP + COMMUTE_MED + TRANSIT_SHARE,3,0.4063,-64.74,-57.09,1.83,12.179,5e-06,0.4233,3
M25_3IV_RPP+COMMUTE_MED+BA_PLUS,REL_IN_25_34,RPP + COMMUTE_MED + BA_PLUS,3,0.3966,-63.92,-56.28,2.79,11.7334,8e-06,0.706,3
M25_3IV_RPP+COMMUTE_MED+POP_DENS,REL_IN_25_34,RPP + COMMUTE_MED + POP_DENS,3,0.3956,-63.85,-56.2,1.87,11.6916,8e-06,0.424,3
M25_2IV_RPP+TRANSIT_SHARE,REL_IN_25_34,RPP + TRANSIT_SHARE,2,0.3949,-64.71,-58.98,1.46,16.9889,3e-06,0.0984,3
M25_2IV_PRIV_AVG_PAY+COST_BURDEN_ALL,REL_IN_25_34,PRIV_AVG_PAY + COST_BURDEN_ALL,2,0.3921,-64.48,-58.74,1.73,16.801,3e-06,0.2669,5
M25_2IV_PRIV_AVG_PAY+TRANSIT_SHARE,REL_IN_25_34,PRIV_AVG_PAY + TRANSIT_SHARE,2,0.3908,-64.38,-58.64,1.72,16.7182,3e-06,0.3,2
M25_2IV_PRIV_AVG_PAY+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + POP_DENS,2,0.3904,-64.34,-58.6,1.35,16.6877,3e-06,0.5547,4
M25_3IV_PRIV_AVG_PAY+MED_RENT+TRANSIT_SHARE,REL_IN_25_34,PRIV_AVG_PAY + MED_RENT + TRANSIT_SHARE,3,0.3902,-63.4,-55.75,3.16,11.4495,1e-05,0.1092,2
M25_2IV_PRIV_AVG_PAY+MED_RENT,REL_IN_25_34,PRIV_AVG_PAY + MED_RENT,2,0.3887,-64.2,-58.47,2.24,16.5798,4e-06,0.148,4
M25_3IV_PRIV_AVG_PAY+TRANSIT_SHARE+COST_BURDEN_ALL,REL_IN_25_34,PRIV_AVG_PAY + TRANSIT_SHARE + COST_BURDEN_ALL,3,0.3883,-63.25,-55.6,2.29,11.3686,1.1e-05,0.1963,5
M25_3IV_RPP+MED_RENT+TRANSIT_SHARE,REL_IN_25_34,RPP + MED_RENT + TRANSIT_SHARE,3,0.3861,-63.06,-55.42,9.33,11.2713,1.2e-05,0.1327,2
M25_3IV_PRIV_AVG_PAY+COST_BURDEN_ALL+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + COST_BURDEN_ALL + POP_DENS,3,0.3854,-63.01,-55.36,1.87,11.2419,1.2e-05,0.41,5
M25_3IV_RPP+TRANSIT_SHARE+POP_DENS,REL_IN_25_34,RPP + TRANSIT_SHARE + POP_DENS,3,0.3851,-62.98,-55.34,1.67,11.2286,1.2e-05,0.1758,2
M25_3IV_PRIV_AVG_PAY+MED_RENT+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + MED_RENT + POP_DENS,3,0.385,-62.97,-55.33,2.45,11.2235,1.2e-05,0.4054,4
M25_3IV_PRIV_AVG_PAY+TRANSIT_SHARE+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + TRANSIT_SHARE + POP_DENS,3,0.385,-62.98,-55.33,1.89,11.2245,1.2e-05,0.4789,2
M25_3IV_RPP+TRANSIT_SHARE+COST_BURDEN_ALL,REL_IN_25_34,RPP + TRANSIT_SHARE + COST_BURDEN_ALL,3,0.3845,-62.93,-55.29,3.66,11.2025,1.2e-05,0.2437,2
M25_3IV_RPP+TRANSIT_SHARE+BA_PLUS,REL_IN_25_34,RPP + TRANSIT_SHARE + BA_PLUS,3,0.382,-62.73,-55.08,2.54,11.0943,1.3e-05,0.1998,3
M25_2IV_PRIV_AVG_PAY+BA_PLUS,REL_IN_25_34,PRIV_AVG_PAY + BA_PLUS,2,0.3792,-63.43,-57.7,2.14,15.9675,5e-06,0.3094,4
M25_3IV_PRIV_AVG_PAY+MED_RENT+COST_BURDEN_ALL,REL_IN_25_34,PRIV_AVG_PAY + MED_RENT + COST_BURDEN_ALL,3,0.3791,-62.5,-54.85,5.94,10.971,1.5e-05,0.2074,5
M25_3IV_PRIV_AVG_PAY+COST_BURDEN_ALL+BA_PLUS,REL_IN_25_34,PRIV_AVG_PAY + COST_BURDEN_ALL + BA_PLUS,3,0.3789,-62.48,-54.83,2.62,10.9628,1.5e-05,0.2419,5
M25_3IV_PRIV_AVG_PAY+TRANSIT_SHARE+BA_PLUS,REL_IN_25_34,PRIV_AVG_PAY + TRANSIT_SHARE + BA_PLUS,3,0.3782,-62.43,-54.78,2.93,10.9357,1.5e-05,0.2421,3
M25_3IV_PRIV_AVG_PAY+BA_PLUS+POP_DENS,REL_IN_25_34,PRIV_AVG_PAY + BA_PLUS + POP_DENS,3,0.3771,-62.34,-54.69,2.27,10.8887,1.6e-05,0.4129,5
M25_2IV_RPP+MED_RENT,REL_IN_25_34,RPP + MED_RENT,2,0.376,-63.17,-57.44,7.24,15.7609,6e-06,0.134,2
M25_3IV_PRIV_AVG_PAY+MED_RENT+BA_PLUS,REL_IN_25_34,PRIV_AVG_PAY + MED_RENT + BA_PLUS,3,0.3755,-62.21,-54.56,2.83,10.8215,1.7e-05,0.2223,3
M25_2IV_RPP+POP_DENS,REL_IN_25_34,RPP + POP_DENS,2,0.3734,-62.97,-57.23,1.39,15.5987,6e-06,0.1114,2
M25_3IV_RPP+MED_RENT+POP_DENS,REL_IN_25_34,RPP + MED_RENT + POP_DENS,3,0.3699,-61.76,-54.12,8.22,10.5885,2.1e-05,0.1228,2
M25_2IV_RPP+COST_BURDEN_ALL,REL_IN_25_34,RPP + COST_BURDEN_ALL,2,0.3649,-62.3,-56.56,3.31,15.0795,9e-06,0.2678,3
M25_2IV_RPP+BA_PLUS,REL_IN_25_34,RPP + BA_PLUS,2,0.364,-62.22,-56.48,2.19,15.0208,9e-06,0.2733,3
M25_3IV_RPP+MED_RENT+BA_PLUS,REL_IN_25_34,RPP + MED_RENT + BA_PLUS,3,0.3631,-61.23,-53.58,8.51,10.3125,2.6e-05,0.2434,4
M25_3IV_RPP+MED_RENT+COST_BURDEN_ALL,REL_IN_25_34,RPP + MED_RENT + COST_BURDEN_ALL,3,0.3629,-61.21,-53.56,10.1,10.3028,2.6e-05,0.196,2
