model_id,dv,ivs,n_ivs,adj_r2,aic,bic,max_vif,f_stat,f_p,max_cooks_d,n_influential
M25_3IV_RPP+COST_BURDEN_ALL+POP_DENS,REL_IN_25_34,RPP + COST_BURDEN_ALL + POP_DENS,3,0.3629,-61.21,-53.57,3.49,10.3054,2.6e-05,0.2292,4
M25_3IV_RPP+BA_PLUS+POP_DENS,REL_IN_25_34,RPP + BA_PLUS + POP_DENS,3,0.3598,-60.97,-53.32,2.36,10.1809,2.9e-05,0.2296,4
M25_3IV_MED_RENT+COMMUTE_MED+TRANSIT_SHARE,REL_IN_25_34,MED_RENT + COMMUTE_MED + TRANSIT_SHARE,3,0.3532,-60.46,-52.81,2.11,9.9195,3.7e-05,0.3722,4
M25_3IV_RPP+COST_BURDEN_ALL+BA_PLUS,REL_IN_25_34,RPP + COST_BURDEN_ALL + BA_PLUS,3,0.3516,-60.33,-52.69,5.14,9.8577,3.9e-05,0.3378,3
M25_3IV_COMMUTE_MED+TRANSIT_SHARE+BA_PLUS,REL_IN_25_34,COMMUTE_MED + TRANSIT_SHARE + BA_PLUS,3,0.3477,-60.03,-52.38,1.67,9.7044,4.5e-05,0.2706,4
M25_2IV_MED_RENT+TRANSIT_SHARE,REL_IN_25_34,MED_RENT + TRANSIT_SHARE,2,0.3467,-60.88,-55.14,1.23,14.0019,1.7e-05,0.5986,2
M25_3IV_MED_RENT+TRANSIT_SHARE+POP_DENS,REL_IN_25_34,MED_RENT + TRANSIT_SHARE + POP_DENS,3,0.3429,-59.66,-52.02,1.42,9.5222,5.3e-05,0.2489,3
M25_3IV_MED_RENT+TRANSIT_SHARE+BA_PLUS,REL_IN_25_34,MED_RENT + TRANSIT_SHARE + BA_PLUS,3,0.3402,-59.46,-51.81,1.98,9.4227,5.7e-05,0.2638,3
M25_2IV_COMMUTE_MED+BA_PLUS,REL_IN_25_34,COMMUTE_MED + BA_PLUS,2,0.3397,-60.34,-54.61,1.22,13.6023,2.2e-05,0.336,3
M25_3IV_MED_RENT+COMMUTE_MED+BA_PLUS,REL_IN_25_34,MED_RENT + COMMUTE_MED + BA_PLUS,3,0.3391,-59.38,-51.73,2.55,9.3819,6e-05,0.5255,3
M25_3IV_COMMUTE_MED+COST_BURDEN_ALL+BA_PLUS,REL_IN_25_34,COMMUTE_MED + COST_BURDEN_ALL + BA_PLUS,3,0.3359,-59.14,-51.49,2.0,9.2627,6.6e-05,0.2551,3
M25_3IV_MED_RENT+TRANSIT_SHARE+COST_BURDEN_ALL,REL_IN_25_34,MED_RENT + TRANSIT_SHARE + COST_BURDEN_ALL,3,0.3333,-58.94,-51.3,4.93,9.1669,7.2e-05,0.4215,4
M25_2IV_MED_RENT+COMMUTE_MED,REL_IN_25_34,MED_RENT + COMMUTE_MED,2,0.3279,-59.46,-53.73,1.67,12.9531,3.3e-05,0.4931,2
M25_3IV_COMMUTE_MED+BA_PLUS+POP_DENS,REL_IN_25_34,COMMUTE_MED + BA_PLUS + POP_DENS,3,0.3259,-58.39,-50.74,1.75,8.8948,9.3e-05,0.3203,3
M25_3IV_COMMUTE_MED+TRANSIT_SHARE+COST_BURDEN_ALL,REL_IN_25_34,COMMUTE_MED + TRANSIT_SHARE + COST_BURDEN_ALL,3,0.3236,-58.22,-50.57,2.02,8.8154,0.0001,0.6902,3
M25_3IV_MED_RENT+COMMUTE_MED+POP_DENS,REL_IN_25_34,MED_RENT + COMMUTE_MED + POP_DENS,3,0.3215,-58.06,-50.41,2.1,8.739,0.000107,0.3646,3
M25_3IV_TRANSIT_SHARE+COST_BURDEN_ALL+BA_PLUS,REL_IN_25_34,TRANSIT_SHARE + COST_BURDEN_ALL + BA_PLUS,3,0.3193,-57.9,-50.25,1.62,8.6602,0.000115,0.4724,3
M25_3IV_MED_RENT+COMMUTE_MED+COST_BURDEN_ALL,REL_IN_25_34,MED_RENT + COMMUTE_MED + COST_BURDEN_ALL,3,0.3133,-57.46,-49.81,4.79,8.4518,0.00014,0.5732,4
M25_2IV_COMMUTE_MED+TRANSIT_SHARE,REL_IN_25_34,COMMUTE_MED + TRANSIT_SHARE,2,0.3093,-58.09,-52.36,1.54,11.9698,6.3e-05,1.4998,4
M25_2IV_COMMUTE_MED+COST_BURDEN_ALL,REL_IN_25_34,COMMUTE_MED + COST_BURDEN_ALL,2,0.3041,-57.72,-51.99,1.66,11.7058,7.5e-05,0.3236,2
M25_2IV_TRANSIT_SHARE+COST_BURDEN_ALL,REL_IN_25_34,TRANSIT_SHARE + COST_BURDEN_ALL,2,0.3014,-57.53,-51.79,1.32,11.568,8.2e-05,1.5301,3
M25_3IV_COMMUTE_MED+TRANSIT_SHARE+POP_DENS,REL_IN_25_34,COMMUTE_MED + TRANSIT_SHARE + POP_DENS,3,0.3003,-56.52,-48.88,1.92,8.0096,0.000212,1.2659,4
M25_2IV_MED_RENT+POP_DENS,REL_IN_25_34,MED_RENT + POP_DENS,2,0.2985,-57.32,-51.58,1.25,11.425,9e-05,0.1314,3
M25_3IV_TRANSIT_SHARE+COST_BURDEN_ALL+POP_DENS,REL_IN_25_34,TRANSIT_SHARE + COST_BURDEN_ALL + POP_DENS,3,0.2982,-56.38,-48.73,1.5,7.9412,0.000226,0.9376,3
M25_2IV_TRANSIT_SHARE+BA_PLUS,REL_IN_25_34,TRANSIT_SHARE + BA_PLUS,2,0.2962,-57.16,-51.42,1.26,11.3135,9.8e-05,1.2055,2
M25_3IV_COMMUTE_MED+COST_BURDEN_ALL+POP_DENS,REL_IN_25_34,COMMUTE_MED + COST_BURDEN_ALL + POP_DENS,3,0.2949,-56.14,-48.49,2.0,7.8323,0.000251,0.2397,3
M25_3IV_MED_RENT+BA_PLUS+POP_DENS,REL_IN_25_34,MED_RENT + BA_PLUS + POP_DENS,3,0.2938,-56.06,-48.41,2.05,7.7937,0.000261,0.2524,4
M25_3IV_TRANSIT_SHARE+BA_PLUS+POP_DENS,REL_IN_25_34,TRANSIT_SHARE + BA_PLUS + POP_DENS,3,0.293,-56.01,-48.36,1.49,7.7686,0.000267,0.527,4
M25_2IV_MED_RENT+BA_PLUS,REL_IN_25_34,MED_RENT + BA_PLUS,2,0.2837,-56.28,-50.54,1.86,10.7047,0.000148,0.3093,3
M25_3IV_MED_RENT+COST_BURDEN_ALL+POP_DENS,REL_IN_25_34,MED_RENT + COST_BURDEN_ALL + POP_DENS,3,0.2833,-55.32,-47.67,4.93,7.4547,0.000361,0.1956,5
M25_2IV_COST_BURDEN_ALL+BA_PLUS,REL_IN_25_34,COST_BURDEN_ALL + BA_PLUS,2,0.2777,-55.86,-50.13,1.45,10.4212,0.000179,0.2909,4
M25_3IV_COST_BURDEN_ALL+BA_PLUS+POP_DENS,REL_IN_25_34,COST_BURDEN_ALL + BA_PLUS + POP_DENS,3,0.2771,-54.9,-47.25,1.6,7.2623,0.000435,0.2332,2
M25_2IV_COMMUTE_MED+POP_DENS,REL_IN_25_34,COMMUTE_MED + POP_DENS,2,0.2745,-55.64,-49.91,1.55,10.2715,0.000199,0.3129,2
M25_3IV_MED_RENT+COST_BURDEN_ALL+BA_PLUS,REL_IN_25_34,MED_RENT + COST_BURDEN_ALL + BA_PLUS,3,0.2734,-54.64,-46.99,6.01,7.145,0.000488,0.2956,5
M25_2IV_MED_RENT+COST_BURDEN_ALL,REL_IN_25_34,MED_RENT + COST_BURDEN_ALL,2,0.2617,-54.76,-49.03,4.59,9.6845,0.000301,0.2618,5
M25_2IV_TRANSIT_SHARE+POP_DENS,REL_IN_25_34,TRANSIT_SHARE + POP_DENS,2,0.2543,-54.27,-48.53,1.29,9.3546,0.00038,2.3646,2
M25_2IV_COST_BURDEN_ALL+POP_DENS,REL_IN_25_34,COST_BURDEN_ALL + POP_DENS,2,0.2534,-54.21,-48.47,1.34,9.3159,0.000391,0.2574,2
M25_2IV_BA_PLUS+POP_DENS,REL_IN_25_34,BA_PLUS + POP_DENS,2,0.238,-53.19,-47.45,1.33,8.6534,0.000631,0.3133,2
