model_id,dv,ivs,n_ivs,adj_r2,aic,bic,max_vif,f_stat,f_p,max_cooks_d,n_influential
M18_3IV_MED_RENT+TRANSIT_SHARE+POP_DENS,REL_IN_18_24,MED_RENT + TRANSIT_SHARE + POP_DENS,3,0.155,-8.8,-1.15,1.42,3.9962,0.013059,0.5479,5
M18_2IV_MED_RENT+POP_DENS,REL_IN_18_24,MED_RENT + POP_DENS,2,0.133,-8.44,-2.7,1.25,4.7586,0.013124,0.5977,5
M18_2IV_PERMITS+POP_DENS,REL_IN_18_24,PERMITS + POP_DENS,2,0.1143,-7.37,-1.64,1.0,4.1625,0.021659,0.5246,5
M18_2IV_PERMITS+BA_PLUS,REL_IN_18_24,PERMITS + BA_PLUS,2,0.1109,-7.18,-1.44,1.0,4.0546,0.023742,0.5942,4
M18_2IV_PERMITS+PRIV_AVG_PAY,REL_IN_18_24,PERMITS + PRIV_AVG_PAY,2,0.1099,-7.12,-1.39,1.08,4.0254,0.024341,0.547,2
M18_2IV_PERMITS+TRANSIT_SHARE,REL_IN_18_24,PERMITS + TRANSIT_SHARE,2,0.1092,-7.08,-1.35,1.0,4.0033,0.024805,1.3085,3
M18_3IV_PERMITS+BA_PLUS+PRIV_AVG_PAY,REL_IN_18_24,PERMITS + BA_PLUS + PRIV_AVG_PAY,3,0.108,-6.09,1.55,2.39,2.9786,0.041068,0.4046,4
M18_3IV_PERMITS+BA_PLUS+POP_DENS,REL_IN_18_24,PERMITS + BA_PLUS + POP_DENS,3,0.1072,-6.05,1.6,1.34,2.9613,0.041888,0.4026,5
M18_3IV_PERMITS+TRANSIT_SHARE+POP_DENS,REL_IN_18_24,PERMITS + TRANSIT_SHARE + POP_DENS,3,0.1023,-5.77,1.87,1.3,2.8619,0.04694,1.0698,4
M18_3IV_PERMITS+TRANSIT_SHARE+PRIV_AVG_PAY,REL_IN_18_24,PERMITS + TRANSIT_SHARE + PRIV_AVG_PAY,3,0.0984,-5.56,2.09,1.91,2.783,0.051386,1.0449,4
M18_3IV_PERMITS+POP_DENS+PRIV_AVG_PAY,REL_IN_18_24,PERMITS + POP_DENS + PRIV_AVG_PAY,3,0.0951,-5.37,2.27,1.45,2.7164,0.055477,0.4006,4
M18_3IV_PERMITS+BA_PLUS+TRANSIT_SHARE,REL_IN_18_24,PERMITS + BA_PLUS + TRANSIT_SHARE,3,0.0917,-5.19,2.46,1.26,2.6489,0.059963,2.3802,5
M18_3IV_BA_PLUS+TRANSIT_SHARE+PRIV_AVG_PAY,REL_IN_18_24,BA_PLUS + TRANSIT_SHARE + PRIV_AVG_PAY,3,0.0223,-1.5,6.14,2.93,1.3723,0.263082,0.7963,5
M18_2IV_BA_PLUS+PRIV_AVG_PAY,REL_IN_18_24,BA_PLUS + PRIV_AVG_PAY,2,0.0186,-2.24,3.49,2.14,1.4651,0.241413,0.146,5
M18_3IV_BA_PLUS+POP_DENS+PRIV_AVG_PAY,REL_IN_18_24,BA_PLUS + POP_DENS + PRIV_AVG_PAY,3,0.004,-0.58,7.07,2.27,1.066,0.372773,0.3954,6
M18_2IV_TRANSIT_SHARE+PRIV_AVG_PAY,REL_IN_18_24,TRANSIT_SHARE + PRIV_AVG_PAY,2,0.0011,-1.36,4.38,1.72,1.0269,0.366016,0.2396,3
M18_3IV_TRANSIT_SHARE+POP_DENS+PRIV_AVG_PAY,REL_IN_18_24,TRANSIT_SHARE + POP_DENS + PRIV_AVG_PAY,3,-0.0156,0.4,8.04,1.89,0.7493,0.52839,0.4703,3
M18_2IV_POP_DENS+PRIV_AVG_PAY,REL_IN_18_24,POP_DENS + PRIV_AVG_PAY,2,-0.0201,-0.31,5.43,1.35,0.5182,0.598926,0.5157,3
M18_2IV_BA_PLUS+POP_DENS,REL_IN_18_24,BA_PLUS + POP_DENS,2,-0.0228,-0.17,5.56,1.33,0.4539,0.637913,0.4882,5
M18_2IV_TRANSIT_SHARE+POP_DENS,REL_IN_18_24,TRANSIT_SHARE + POP_DENS,2,-0.0256,-0.04,5.7,1.29,0.3876,0.680828,0.6752,4
M18_2IV_BA_PLUS+TRANSIT_SHARE,REL_IN_18_24,BA_PLUS + TRANSIT_SHARE,2,-0.0416,0.74,6.47,1.26,0.0212,0.979076,2.049,4
M18_3IV_BA_PLUS+TRANSIT_SHARE+POP_DENS,REL_IN_18_24,BA_PLUS + TRANSIT_SHARE + POP_DENS,3,-0.0421,1.69,9.33,1.49,0.34,0.796516,1.1477,6
